X_coord,Y_coord,Decision
49,1,pos
43,75,pos
66,98,neg
98,5,neg
11,1,pos
95,37,neg
76,55,neg
52,35,pos
51,65,pos
1,18,neg
20,22,pos
98,85,neg
26,38,pos
20,34,pos
25,64,neg
86,65,neg
35,43,pos
12,19,pos
97,14,neg
67,11,pos
29,3,pos
30,26,pos
25,10,pos
42,1,pos
32,7,pos
44,89,neg
27,55,neg
88,89,neg
1,77,neg
16,43,neg
92,92,neg
35,18,pos
13,74,neg
17,20,pos
39,95,neg
36,88,neg
22,64,neg
0,87,neg
28,48,pos
86,87,neg
4,3,pos
99,0,pos
40,77,pos
68,35,pos
65,37,pos
24,56,neg
27,51,pos
22,14,pos
10,27,neg
97,3,pos
14,21,pos
24,36,pos
42,77,pos
96,9,neg
12,78,neg
62,20,pos
49,7,pos
50,64,pos
19,78,neg
10,61,neg
50,14,pos
45,35,pos
69,93,neg
92,53,neg
15,2,pos
85,68,neg
93,14,neg
88,36,neg
89,20,pos
49,18,pos
6,78,neg
50,76,pos
80,64,neg
75,68,neg
1,2,neg
9,57,neg
85,56,neg
37,85,neg
96,30,neg
71,73,neg
40,43,pos
26,48,pos
60,0,pos
79,27,pos
28,26,pos
40,94,neg
77,74,neg
92,58,neg
81,13,pos
47,72,pos
19,47,neg
61,9,pos
22,99,neg
78,44,neg
43,82,pos
54,25,pos
67,71,neg
85,78,neg
42,91,neg
5,28,neg
12,33,neg
7,79,neg
58,59,pos
30,59,pos
85,87,neg
18,60,neg
84,38,neg
74,3,pos
46,39,pos
42,50,pos
19,92,neg
73,79,neg
73,5,pos
53,3,pos
81,92,neg
74,47,pos
24,71,neg
71,97,neg
53,12,pos
90,35,neg
13,96,neg
40,2,pos
53,71,pos
32,35,pos
10,42,neg
32,98,neg
72,56,neg
2,57,neg
72,86,neg
86,16,pos
78,16,pos
58,43,pos
20,89,neg
77,2,pos
5,3,pos
52,65,pos
88,14,pos
13,45,neg
84,55,neg
50,46,pos
22,48,neg
49,81,pos
3,72,neg
84,54,neg
33,70,neg
20,6,pos
36,56,pos
83,27,pos
75,21,pos
40,1,pos
60,72,pos
87,36,neg
9,97,neg
81,79,neg
32,90,neg
11,76,neg
5,51,neg
7,44,neg
72,23,pos
45,54,pos
28,59,neg
88,20,pos
34,59,pos
27,24,pos
68,47,pos
76,15,pos
75,47,pos
91,74,neg
63,93,neg
53,58,pos
94,88,neg
29,68,neg
6,93,neg
25,33,pos
63,99,neg
9,82,neg
53,64,pos
0,79,neg
40,53,pos
62,58,pos
95,76,neg
90,25,neg
31,7,pos
36,1,pos
60,73,pos
81,26,pos
21,42,neg
63,10,pos
22,68,neg
4,45,neg
48,83,pos
44,66,pos
90,26,neg
66,32,pos
33,16,pos
17,1,pos
25,26,pos
0,68,neg
11,68,neg
0,48,neg
10,53,neg
40,29,pos
8,80,neg
26,51,pos
77,59,neg
24,39,pos
49,24,pos
14,67,neg
72,92,neg
50,35,pos
24,41,pos
65,54,pos
2,30,neg
13,20,pos
0,41,neg
7,77,neg
89,50,neg
84,4,pos
17,29,pos
39,10,pos
5,79,neg
99,41,neg
58,39,pos
82,71,neg
72,75,neg
14,91,neg
91,9,pos
56,10,pos
0,61,neg
54,71,pos
39,5,pos
65,31,pos
4,2,pos
3,32,neg
20,84,neg
95,57,neg
1,64,neg
43,79,pos
27,15,pos
89,23,neg
73,46,pos
54,53,pos
70,46,pos
13,34,neg
86,98,neg
16,59,neg
35,78,neg
7,53,neg
65,84,neg
7,6,pos
30,14,pos
85,58,neg
98,75,neg
95,82,neg
89,28,neg
95,56,neg
89,83,neg
18,34,pos
29,96,neg
54,27,pos
38,79,neg
71,56,pos
50,81,pos
91,14,pos
72,44,pos
54,0,pos
53,95,neg
94,27,neg
22,46,neg
8,35,neg
83,94,neg
90,42,neg
4,32,neg
33,78,neg
68,17,pos
81,31,pos
96,21,neg
60,66,pos
11,93,neg
69,34,pos
54,61,pos
30,71,neg
30,44,pos
32,63,pos
27,29,pos
34,33,pos
4,33,neg
32,72,neg
70,1,pos
97,26,neg
1,4,neg
33,15,pos
16,56,neg
15,33,neg
46,80,pos
88,13,pos
90,2,pos
66,22,pos
14,43,neg
2,14,neg
53,56,pos
92,18,neg
63,22,pos
49,89,pos
14,19,pos
95,16,neg
86,6,pos
1,81,neg
43,52,pos
87,0,pos
24,46,pos
53,21,pos
80,45,neg
56,84,pos
35,32,pos
82,44,neg
79,76,neg
36,98,neg
0,70,neg
5,44,neg
12,4,pos
30,78,neg
91,6,pos
91,20,neg
96,80,neg
61,80,neg
83,29,pos
42,84,neg
40,7,pos
87,13,pos
8,77,neg
80,60,neg
1,96,neg
97,46,neg
40,10,pos
99,62,neg
25,71,neg
37,53,pos
92,47,neg
86,28,neg
93,68,neg
61,59,pos
47,91,pos
53,37,pos
30,24,pos
27,18,pos
86,55,neg
69,16,pos
39,84,neg
73,8,pos
59,53,pos
38,44,pos
26,82,neg
40,24,pos
87,15,pos
31,39,pos
42,37,pos
2,18,neg
66,18,pos
96,6,pos
52,68,pos
25,43,pos
28,70,neg
12,44,neg
4,20,neg
62,27,pos
20,58,neg
84,93,neg
64,34,pos
34,22,pos
45,10,pos
11,66,neg
2,54,neg
4,15,neg
91,75,neg
34,69,neg
30,50,pos
7,59,neg
13,85,neg
6,54,neg
12,1,pos
24,13,pos
55,79,pos
59,93,neg
52,94,pos
30,55,pos
28,30,pos
29,70,neg
3,28,neg
42,70,pos
59,94,neg
43,92,neg
20,63,neg
83,1,pos
90,13,pos
93,29,neg
51,69,pos
44,29,pos
12,81,neg
33,81,neg
26,36,pos
33,28,pos
64,36,pos
50,18,pos
73,24,pos
37,95,neg
26,63,neg
82,82,neg
12,82,neg
41,48,pos
13,62,neg
14,37,neg
96,28,neg
34,41,pos
0,56,neg
45,97,neg
84,79,neg
53,65,pos
18,44,neg
55,15,pos
85,73,neg
62,63,pos
28,80,neg
17,43,neg
83,98,neg
41,69,pos
51,97,neg
89,93,neg
7,40,neg
90,66,neg
16,24,pos
5,24,neg
79,99,neg
44,19,pos
54,26,pos
66,89,neg
73,82,neg
4,35,neg
29,60,neg
3,8,neg
15,65,neg
26,31,pos
55,97,neg
94,77,neg
4,1,pos
38,26,pos
8,81,neg
39,97,neg
71,18,pos
32,65,neg
84,6,pos
50,9,pos
57,36,pos
55,54,pos
2,88,neg
55,64,pos
83,24,pos
26,23,pos
88,59,neg
4,76,neg
85,91,neg
97,13,neg
65,22,pos
31,11,pos
94,70,neg
7,37,neg
31,33,pos
80,47,neg
65,51,pos
54,7,pos
55,63,pos
53,28,pos
67,18,pos
51,18,pos
46,19,pos
36,89,neg
77,16,pos
18,39,neg
19,95,neg
23,99,neg
65,10,pos
93,56,neg
41,19,pos
58,94,neg
8,0,pos
84,23,pos
76,80,neg
14,5,pos
54,31,pos
0,69,neg
95,43,neg
27,59,neg
82,94,neg
15,86,neg
66,66,pos
80,14,pos
10,74,neg
30,63,neg
64,87,neg
47,5,pos
90,69,neg
26,3,pos
77,38,pos
15,79,neg
50,58,pos
57,53,pos
35,48,pos
4,9,neg
40,97,neg
64,61,pos
56,1,pos
52,31,pos
37,77,neg
27,26,pos
4,77,neg
13,29,neg
40,35,pos
96,42,neg
17,77,neg
60,96,neg
7,51,neg
57,92,neg
40,60,pos
90,41,neg
60,30,pos
58,98,neg
93,38,neg
